high.thisTrialN,high.stepSize,high.intensity,medium.thisTrialN,medium.stepSize,medium.intensity,low.thisTrialN,low.stepSize,low.intensity,time.onset,true_trialN,cue.type,cue.accuracy,jitter,low.response,Trial.rewardType,Total_Earned,time.global,time.nominal,time.trial,time.plannedfixlength,time.actualfixlength,medium.response,Target_Resp.rt,high.response,participant,fMRI? (yes/no),Task number (1/2/test),date,expName,frameRate,
-1,4,None,-1,4,None,0,4,8.1,12.007971833925694,0,-$5,20,0.026822620352306488,0,-$5,-5,22.00762433395721,22.00497637479566,9.988123917020857,1.9971962908748537,1.9999032078776509,,,,XXX000,no,test,2023-06-26_14h01.05.076,MID,None,
-1,4,None,0,4,8.1,0,4,8.1,22.00839762482792,1,+$1,50,0.0029018045658346816,,+$1,-4,32.006362166954204,32.00497637479566,9.990808290895075,1.9988696658983827,2.000308125047013,1,0.249560457887128,,XXX000,no,test,2023-06-26_14h01.05.076,MID,None,
-1,4,None,1,4,6.928355041520073,0,4,8.1,32.0070417500101,2,+$5,50,0.011363725885588094,,+$5,1,41.993936999933794,42.00497637479566,9.981788707897067,1.9789963748771697,1.9679991248995066,1,0.22946816706098616,,XXX000,no,test,2023-06-26_14h01.05.076,MID,None,
0,4,8.1,1,4,6.928355041520073,0,4,8.1,41.99452045885846,3,$0,80,0.00021253657039132514,,0,1,51.99426770885475,52.00497637479566,9.994798250030726,2.027077332837507,2.016415874939412,,0.2546964162029326,1,XXX000,no,test,2023-06-26_14h01.05.076,MID,None,
0,4,8.1,1,4,6.928355041520073,1,4,9.214291069328032,51.994841458974406,4,-$1,20,0.03425533139609461,1,0,1,62.007907249964774,62.00497637479566,10.009273124858737,2.0099559579975903,2.0129510001279414,,0.2427725000306964,,XXX000,no,test,2023-06-26_14h01.05.076,MID,None,
1,4,6.983433000772875,1,4,6.928355041520073,1,4,9.214291069328032,62.00853966688737,5,+$5,80,0.04037107899868753,,0,1,71.99731933395378,72.00497637479566,9.983573999954388,2.007350832922384,1.9997442080639303,,,0,XXX000,no,test,2023-06-26_14h01.05.076,MID,None,
1,4,6.983433000772875,1,4,6.928355041520073,2,4,8.52158143045583,71.99798300000839,6,+$1,20,0.028614119357563833,1,+$1,2,82.00782329193316,82.00497637479566,10.00457466696389,2.0238714998122305,2.0267844998743385,,0.23492291709408164,,XXX000,no,test,2023-06-26_14h01.05.076,MID,None,
2,4,7.676222329239526,1,4,6.928355041520073,2,4,8.52158143045583,82.00852024997585,7,-$5,80,0.03896919077187469,,0,2,91.99543220899068,92.00497637479566,9.982403791043907,1.9983389999251813,1.9888422500807792,,0.23072533286176622,1,XXX000,no,test,2023-06-26_14h01.05.076,MID,None,
3,4,7.45009434176775,1,4,6.928355041520073,2,4,8.52158143045583,91.99605274992064,8,+$1,80,0.0022413189111171795,,+$1,3,101.99328616680577,102.00497637479566,9.992468250216916,2.0100725828669965,1.9984315419569612,,0.24922920786775649,1,XXX000,no,test,2023-06-26_14h01.05.076,MID,None,
3,4,7.45009434176775,1,4,6.928355041520073,3,4,8.166317086217399,101.99392570881173,9,+$5,20,0.022798604894392047,1,+$5,8,112.00790412491187,112.00497637479566,10.008849875070155,2.0137064999435097,2.0166889999527484,,0.23131620814092457,,XXX000,no,test,2023-06-26_14h01.05.076,MID,None,
3,4,7.45009434176775,2,4,6.30385580479971,3,4,8.166317086217399,112.00862645893358,10,$0,50,0.028232854843272155,,0,8,122.0075621670112,122.00497637479566,9.994728666031733,1.990202082786709,1.9928384169470519,1,0.19219808303751051,,XXX000,no,test,2023-06-26_14h01.05.076,MID,None,
4,4,7.319438393291568,2,4,6.30385580479971,3,4,8.166317086217399,122.00829224986956,11,-$1,80,0.03191675570952586,,0,8,131.9927060417831,132.00497637479566,9.980087582953274,1.9975309579167515,1.9853202919475734,,0.22415220807306468,1,XXX000,no,test,2023-06-26_14h01.05.076,MID,None,
4,4,7.319438393291568,3,4,5.968297560298753,3,4,8.166317086217399,131.99339316692203,12,-$5,50,0.04114158667987698,,0,8,141.99377316678874,142.00497637479566,9.995436292141676,2.018450915813446,2.0072810410056263,1,0.1770576669368893,,XXX000,no,test,2023-06-26_14h01.05.076,MID,None,
4,4,7.319438393291568,3,4,5.968297560298753,4,4,7.978593398764313,141.99419345892966,13,$0,20,0.007857081890473789,1,0,8,152.00545612489805,152.00497637479566,10.00849120807834,2.0154390828683972,2.01596733299084,,0.24689087504521012,,XXX000,no,test,2023-06-26_14h01.05.076,MID,None,
4,4,7.319438393291568,4,4,5.793891854966423,4,4,7.978593398764313,152.00615837494843,14,-$1,50,0.012811614326107995,,0,8,162.0068306250032,162.00497637479566,9.996707041980699,2.000494790961966,2.0023967910092324,1,0.21909304102882743,,XXX000,no,test,2023-06-26_14h01.05.076,MID,None,
